OBJECTID;x;y;SampleArt;VEG_ALL;Btty;NEAR_DIST;z2010
473;524294.07;5958482.70;pot;Bo;2;34.39;1.22
474;524299.07;5958482.70;pot;Bo;2;29.97;1.18
475;524304.07;5958482.70;pot;Bo;2;25.56;1.13
476;524309.07;5958482.70;pot;Bo;2;21.14;1.06
477;524314.07;5958482.70;pot;Bo;2;16.73;1
478;524319.07;5958482.70;pot;Bo;2;12.31;0.93
479;524324.07;5958482.70;pot;Sc;1;7.89;0.93
480;524284.07;5958477.70;pot;Bo;2;45.57;1.47
481;524289.07;5958477.70;pot;Bo;2;41.15;1.34
482;524294.07;5958477.70;pot;Bo;2;36.73;1.27
483;524299.07;5958477.70;pot;Bo;2;32.32;1.21
484;524304.07;5958477.70;pot;Bo;2;27.90;1.15
485;524309.07;5958477.70;pot;Bo;2;23.49;1.09
486;524314.07;5958477.70;pot;Bo;2;19.07;1.03
487;524284.07;5958472.70;pot;Bo;2;47.91;1.48
488;524289.07;5958472.70;pot;Bo;2;43.50;1.35
489;524294.07;5958472.70;pot;Bo;2;39.08;1.3
490;524299.07;5958472.70;pot;Bo;2;34.66;1.25
491;524304.07;5958472.70;pot;Bo;2;30.25;1.19
492;524289.07;5958467.70;pot;Bo;2;45.84;1.46
